,Title,Year,Page Number,Subject
68,"  ''Notabilia'' on the Manual of field engineering, 1911.",1912,6.0,Engineering
71,  Why progress is in leaps,1896,7.0,Engineering
77,  A treatise on water-works for conveying and distributing supplies of water : with tables and examples,1835,7.0,Engineering
78,  The Sapper: compiled from Instruction in military engineering. Vol. I.,1877,7.0,Engineering
79,"  Shipping Engineering and Machinery Exhibition 1921 : September 7th to Sept. 28th, Olympia, London W.",1921,7.0,Engineering
80,  The miner's manual,1962,8.0,Engineering
81,"  Engineering for Forest Rangers in Tropical Countries, with special reference to Burma.",1929,8.0,Engineering
82,"  Electrical Engineering in India: a practical treatise for civil, mechanical and electrical engineers, with many tables and illustrations.",1914,8.0,Engineering
83,"  Electrical Engineering Practice ... Second edition, revised and enlarged.",1916,8.0,Engineering
85,"  The Roorkee Treatise on Civil Engineering in India ... Third edition, enlarged ... by ... A. M. Lang. vol. 1.",1873,8.0,Engineering
87,"  Sanitary Engineering in India. Lectures, etc.",1898,8.0,Engineering
89,  Simple Matters which often are lost sight of. Two lectures delivered [to students of the Sibpur Civil Engineering College] during March 1911.,1912,8.0,Engineering
90,"  Simple Matters which often are lost sight of, etc.",1913,9.0,Engineering
95,  The civil engineering profession in India.,1879,9.0,Engineering
96,"  Lecture on sanitary science, delivered at the Town Hall, Bombay, on Friday, April 23rd, 1858",1858,9.0,Engineering
97,  Sanitary engineering,1908,9.0,Engineering
98,  Problems in the mechanical principles of construction for the use of the Royal Engineers.,1863,9.0,Engineering
100,"  The practical model calculator : for the engineer, mechanic, machinist, manufacturer of engine-work, naval architect, miner, and millwright",1852,10.0,Engineering
101,  Reference notes for engineers and steam users.,1890,10.0,Engineering
102,"  A special course of instruction during the winter, in experimental physics (elementary and advanced) and electrical engineering",1886,10.0,Engineering
103,"  A treatise on the economy of fuel, and management of heat, espcially as it relates to heating and drying by means of steam",1815,10.0,Engineering
104," The Engine-room : who should be in it, and what they should do : also, the application of the indicator to marine engines",1877,10.0,Engineering
105,  Report on civil engineering education in Great Britain in 1924 : with remarks on the training of Indian students in engineering,1925,10.0,Engineering
108,  The Junior Engineering Society : Presidential address,1893,10.0,Engineering
109,  Notes on field engineering for the use of volunteers. Compiled by George F. Chambers.,1892,10.0,Engineering
110,  The transition curve,1892,11.0,Engineering
111,  East India (Royal Indian Engineering College) : minutes of evidence taken before the committee appointed in 1903 to enquire into the expediency of maintaining the Royal Indian Engineering College and other matters together with an analysis and index of the evidence : presented to both Houses of Parliament by command of His Majesty.,1904,11.0,Engineering
112,"  Quinquennial report on the Civil Engineering College, Sibpur, for the years 1912-13 to 1916-17.",1917,11.0,Engineering
113,"  R. & W. Hawthorn, Leslie & Co. Ltd., Newcastle-upon-Tyne.",1910,11.0,Engineering
114,"  T. Tabrar & Co., practical mechanical engineers. If you are in need of practical gas fitters, brass finishers, plumbers, bell-hangers, hot water engineers, or beer engine, bar fitters, &c., apply to Tabrar & Co., Oakley Street, Waterloo Road ... If you want to avoid unpleasant smells from your sanitary pipes, cisterns fixed or repaired, or other sanitary work that you may be in need of, have a practical plumber from Tabrar & Co ...",1881,11.0,Engineering
115,  East India (Royal Indian Engineering College). Further papers in regard to the Royal Indian Engineering College.,1901,11.0,Engineering
116,  Illustrated catalogue of electric and domestic inventions,1882,11.0,Engineering
117,  Manual of the steam engine.,1864,11.0,Engineering
118,  Address to the students of the Institution of Civil Engineers,1896,11.0,Engineering
119,  The diffusion of crude petroleum through fuller's earth with notes on its geologic significance,1911,11.0,Engineering
120,"  The steam engine, familiarly described, with a brief account of its history and uses.",1839,12.0,Engineering
121,"  Account of Roorkee College, established for the instruction of civil engineers : with a scheme for its enlargement",1851,12.0,Engineering
122,"  Memorandum on the Thomason Civil Engineering College, Roorkee.",1870,12.0,Engineering
123,  Paper on standardisation in British engineering practice,1906,12.0,Engineering
124,  [A collection of three engineering charts produced by the British Engineering Standards Association in 1924],1924,12.0,Engineering
125,"  East India (Royal Indian Engineering College). Remodelling of course of instruction and retirement of certain of the professors and lecturers. Report of the Board of Visitors (dated 25th March 1901), and minutes of evidence taken before them.",1901,12.0,Engineering
126,"  History of the steam hammer : a lecture (with illustrations,)",1864,12.0,Engineering
127,  Simple formula for estimating airplane ceilings,1923,12.0,Engineering
129,"  Address of Sir John Wolfe Barry, ... President of the Institution of Civil Engineers : 2 November, 1897.",1897,12.0,Engineering
130,"  Drawing and rough sketching for marine engineers, with proportions, instructions, explanations, and examples, intended for the use of sea-going engineers and others in preparing working sketches and rough drawings, as required for H. M. Navy and Board of Trade Examinations also how to design engines, boilers, propellers, stop-valves, etc., and information useful as a reference to those concerned in the construction of marine machinery, and questions and examination papers for assistant engineers and students in H. M. Navy.",1879,13.0,Engineering
131,"  The power of heat for propelling ships, and the duty of a cubic foot of coal, showing the direct application of hot products of combustion under water, so as to impel ships without the intervention of machinery.",1852,13.0,Engineering
132,  On the law of condensation of steam : deduced from measurements of temperature-cycles of the walls and steam in the cylinder of a steam-engine,1898,13.0,Engineering
133,  East India (Royal Indian Engineering College). Correspondence relating to the remodelling of the studies and the retirement of certain of the professors and lecturers.,1901,13.0,Engineering
134,"  Hints on bivouac & camp life! : issued by the authority of His Excellency Major General Sir Gaspard Le Marchant, for the guidance of young officers in the Halifax Garrison, while under canvas for the summer months at the North West Arm, Point Pleasant",1855,13.0,Engineering
135,  East India (Royal Indian Engineering College) : reports and correspondence relating to the expediency of maintaining the Royal Indian Engineering College and other matters : presented to both Houses of Parliament by command of His Majesty.,1904,13.0,Engineering
138,"  The mechanic's calculator comprehending principles, rules, and tables in the various departments of mathematics and mechanics useful to millwrights, engineers, and artisans in general",1841,13.0,Engineering
139,  Modern engineering for power plant operators,1923,13.0,Engineering
141,  The saturation curve as a reference line for indicator diagrams,1894,14.0,Engineering
143,  Coopers Hill College : history in speeches.,1902,14.0,Engineering
144,"  The standardization of engineering materials, and its influence on the prosperity of the country",1917,14.0,Engineering
145,  Influence of ribs on strength of spars,1923,14.0,Engineering
146,"  British Association for the Advancement of Science : Bristol, 1898 : Address to the Mechanical Science Section",1898,14.0,Engineering
147,"  C.H. Bailey, Graham & Co., Ltd. book of translations : 5,200 marine technical terms in English, German, French, Italian, Spanish & Norwegian",1928,14.0,Engineering
148,"  The miner's dictionary : explaining not only the terms used by miners, but also containing the theory and practice of that most useful art of mineing, more especially of lead mines ... being observations made by the author from more than forty years practice and experience at the mines in the High and Low Peak in Derbyshire, Shropshire, South and North Wales and the North of England",1979,14.0,Engineering
149,  Discussion on transition curves,1892,14.0,Engineering
154,"  On standard decimal measures of length for mechanical engineering work &c. : excerpt minutes of proceedings of the Meeting of the Institution of Mechanical Engineers, at Manchester, 25th June 1857 : Joseph Whitworth, Esq., President, in the chair.",1858,15.0,Engineering
155,"  Pocket-book of tables, formulæ & information for hydraulic engineers",1874,15.0,Engineering
157,  Transition curves,1899,15.0,Engineering
160,  The steam engine,1891,16.0,Engineering
161,"  A treatise on the steam engine in its application to mines, mills, steam navigation, and railways.",1858,16.0,Engineering
162,  Similitude tests on wing sections,1921,16.0,Engineering
166,  Efficiency methods an introduction to scientific management,1974,16.0,Engineering
167,"  High speed steam navigation, and steamship perfection : can perfection be defined in the form of a steamship, a propeller, or any other mechanical appliance? A proposition for the solution of the scientific world, and for the consideration of the British Admiralty",1859,16.0,Engineering
168,  A treatise on roads : in two parts : Part first. On surveying and engineering,1845,16.0,Engineering
171,  Factory efficiency,1979,17.0,Engineering
172,  Scientific industrial efficiency,1974,17.0,Engineering
173,"  Electrical Engineering, with particular reference to conditions in Bengal. Six lectures, etc.",1900,17.0,Engineering
175,  Illumination engineering practice,1928,17.0,Engineering
176,  Works of civil engineering construction.,1930,17.0,Engineering
177,"  Circulars collected at the Naval Exhibition, Agricultural Hall, 1882.",1882,17.0,Engineering
178,  Agricultural engineering in the Bombay Presidency.,1915,17.0,Engineering
180,"  New Brunswick and Canada Railway and Land Company, from Woodstock onwards : specification.",1860,18.0,Engineering
181,"  Brantford Engine Works, established 1844 : Waterous' improved system of fire protection and water supply for cities, towns and villages, manufactured under letters patent by C.H. Waterous & Co., C.H. Waterous, G.H. Wilkes, Brantford, Ont : also manufactures engines, saw mills, grist mills and all kinds of saw mill machinery.",1872,18.0,Engineering
182,"  Municipal engineering applicable to conditions existing in Bengal : six lectures delivered in February and March 1899 at the Civil Engineering College, Sibpur.",1899,18.0,Engineering
183,  Water supply,1902,18.0,Engineering
184,"  Iron, steel, and allied trades. Glasgow and its tributaries, 1901.",1901,18.0,Engineering
185,  Report relative to the proposed rail-way from Dumfries to Sanquhar.,1811,18.0,Engineering
186,"  Selections from reports by the Civil Engineer Department, 1848-49.",1851,18.0,Engineering
188,  Drainage problems of the East,1906,18.0,Engineering
189,  Engineer's manual,1898,18.0,Engineering
190,"  Report of the Minister of Justice : with reference to the arrangement made for the settlement of matters in difference between the government of Canada and the government of British Columbia, Vancouver Island railway, Esquimalt graving dock, railway lands, judicial districts.",1884,19.0,Engineering
191,  Report of the marble deposits in the island of Cape Breton belonging to the Cape Breton Marble Company.,1880,19.0,Engineering
197,  Engineers' and mechanics' pocket-book : containing United States and foreign weights and measures ...,1853,19.0,Engineering
198,"  Sand bars of the Ohio River. Message from the President of the United States, transmitting the information required by a resolution of the House of Representatives of the 21st instant, in relation to the measures which have been taken to improve the navigation over the sand bars in the Ohio River, & c &c. March 31, 1826. Read, and committed to the Committee on Commerce.",1826,19.0,Engineering
199,"  South San Francisco Harbor, Calif. Letter from the Secretary of War transmitting a report from the Chief of Engineers on preliminary examination and survey of South San Francisco Harbor, Calif., and entrance thereto. February 11, 1926. -- Referred to the Committee on Rivers and Harbors and ordered to be printed.",1926,19.0,Engineering
200,"  Address delivered before its Engineering Society, March 8, 1899 : subject, ""The conjunction of the nineteenth and twentieth centuries from an engineering standpoint""",1899,20.0,Engineering
201,  Table of quantities in culverts and other structures.,1871,20.0,Engineering
202,"  Fire buckets. A little fire is quickly put out. The bucket of water in time avoids nine. Heathman's best metal fire buckets ... 30/- 35/- 40/- per dozen. Few or many. 14/- per dozen less if unpainted. Brackets to hang the buckets upon 12/- per dozen ... Polished wood ornamental rails fitted to the brackets, extra. Hand hatchets ... Hand fire pumps ... syringes. Window fire escapes. Ladders. Garden & stable flushing hose and fittings. Extincteurs and grenades. Water supplies laid on with hydrants, and hose and fittings complete. Repairs of every kind to water (hot and cold) fittings, and gas supplies. 'Metropolitan' police whistle, to summon assistance, 2/6. Chain 1/- J. H. Heathman & Co., experts in protection from fire, Endell St., & Wilson St., London, W.C.",1887,20.0,Engineering
203,"  Survey Genesee River, L. Ontario, Oswego River, &c. Letter from the Secretary of War, transmitting a report of a survey of Genesee River, the south shore of Lake Ontario, between the Genesee and Oswego Rivers, and Big Sandy Creek, in the State of New York. February, 3, 1829. -- Read, and referred to the Committee on Commerce. March 3, 1829. -- Ordered to be printed.",1829,20.0,Engineering
204,"  Roads, railways, and canals for India. : extracted from “Professional papers on Indian engineering” : with practical suggestions",1869,20.0,Engineering
205,  The works on the River Missouri at St. Joseph,188-,20.0,Engineering
206,  Resistance of a fifteen-centimeter disk,1926,20.0,Engineering
207,"  Horse power computer for steam, gas & oil engines",1908,20.0,Engineering
208,  Tests on built-up airplane struts having initial tension in outside fibers,1923,20.0,Engineering
209,"  Lectures. Light and temporary railways, and temporary expedients in engineering construction. Delivered at the School of Military Engineering, Chatham.",1881,20.0,Engineering
210,"  Report on the survey of the Bangor, Orono and Oldtown Rail-road : with remarks on its advantages and probable revenue",1850,21.0,Engineering
211,  On the percussive or instantaneous action of steam and other aeriform fluids,1841,21.0,Engineering
212,"  Letter from the Secretary of War, transmitting a report and estimates of the Chief of Engineers in relation to the Falls of Saint Anthony. April 15, 1872. -- Referred to the Committee on Commerce and ordered to be printed.",1872,21.0,Engineering
214,  Fittings and other structural parts of airplanes,1923,21.0,Engineering
215,  Reprint of Tesla's articles in Electrical Experimenter,2007,21.0,Engineering
216,"  Survey of the waters of Virginia & N. Carolina. Letter from the Secretary of War, transmitting a report of the Engineer Department, in relation to a survey of the waters of Virginia and North Carolina in reference to a system of internal navigation. March 1, 1826. Read, and referred to the Committee of the Whole House to which is committed the Bill for a Subscription of Stock in the Dismal Swamp Canal.",1826,21.0,Engineering
217,"  Memoir : on a new method of applying the power of steam, and of condensing the same after it has been so applied  the former is designated the ""Differential"" System of Steam Power, and the latter, the Hot Water System of Condensation.",1856,21.0,Engineering
218,  Strength in shear of thin curved sheets of ALCLAD,1930,21.0,Engineering
219,  The effect of fillets between wings and fuselage on the drag and propulsive efficiency of an airplane,1928,21.0,Engineering
223,  Gas engineering and gas manufacture 1863-1913. Fifty years' review of the work of the Institution of Gas Engineers. (Founded in 1863 as the British Association of Gas Engineers.),1915,22.0,Engineering
226,"  Duluth-Superior Harbor, Minn. and Wis. Letter from the Secretary of War transmitting a report from the Chief of Engineers on preliminary examination and survey of Duluth-Superior Harbor, Minn. and Wis., with a view to depending the channels at and near the entrance of Tower Bay at its junction with Howards Bay. February 4, 1926. -- Referred to the Committee on Rivers and Harbors and ordered to be printed, with illustration.",1926,22.0,Engineering
228,"  Address of P. Alex. Peterson, president, Canadian Society of Civil Engineers, at the annual meeting, January 25th, 1895.",1895,22.0,Engineering
